Con_48,,,,
Pin,Name,Type,Unit,Side
1,1,pass,1,left
2,2,pass,1,left
3,3,pass,1,left
4,4,pass,1,left
5,5,pass,1,left
6,6,pass,1,left
7,7,pass,1,left
8,8,pass,1,left
9,9,pass,1,left
10,10,pass,1,left
11,11,pass,1,left
12,12,pass,1,left
13,13,pass,1,left
14,14,pass,1,left
15,15,pass,1,left
16,16,pass,1,left
17,17,pass,2,left
18,18,pass,2,left
19,19,pass,2,left
20,20,pass,2,left
21,21,pass,2,left
22,22,pass,2,left
23,23,pass,2,left
24,24,pass,2,left
25,25,pass,2,left
26,26,pass,2,left
27,27,pass,2,left
28,28,pass,2,left
29,29,pass,2,left
30,30,pass,2,left
31,31,pass,2,left
32,32,pass,2,left
33,33,pass,3,left
34,34,pass,3,left
35,35,pass,3,left
36,36,pass,3,left
37,37,pass,3,left
38,38,pass,3,left
39,39,pass,3,left
40,40,pass,3,left
41,41,pass,3,left
42,42,pass,3,left
43,43,pass,3,left
44,44,pass,3,left
45,45,pass,3,left
46,46,pass,3,left
47,47,pass,3,left
48,48,pass,3,left
